华硕（ASUS）天选3 12代英特尔酷睿i7 15.6英寸游戏本 笔记本电脑(i7-12700H 16G 512G RTX3060 2.5K 165Hz 100%P3色域)灰,8499.00,10万+,华硕京东自营官方旗舰店
华为笔记本电脑MateBook D 14 SE版 14英寸 11代酷睿 i5 锐炬显卡 8G+512G 轻薄本/高清护眼防眩光屏 银,3399.00,50万+,华为京东自营官方旗舰店
惠普(HP)战66 五代 15.6英寸轻薄笔记本电脑(英特尔12代酷睿 i5-1240P 16G 512G高色域低功耗屏 1年上门),4399.00,20万+,惠普京东自营官方旗舰店
得力（deli） [4本装]商务笔记本子羊巴皮面本记事本笔记本文具加厚日记本会议记录本4本通用装A5 BP107,34.90,20万+,得力京东自营官方旗舰店
联想拯救者Y9000P 英特尔酷睿i9 16英寸游戏本 笔记本电脑(i9-12900H 16G 512G RTX3060 165Hz 2.5k电竞屏)钛晶灰,8999.00,10万+,联想京东自营旗舰店
机械革命（MECHREVO）极光Z 12代英特尔酷睿i7 15.6英寸游戏本 笔记本电脑(i7-12650H 16G 512G RTX3050),4999.00,5万+,机械革命京东自营官方旗舰店
惠普（HP） 星15青春版 15.6英寸雾面大屏娱乐设计学生网课轻薄笔记本电脑 【新】R5-5625U 8G 512G 雾面大屏,3499.00,1000+,惠普（HP）旗舰店
华为笔记本电脑MateBook D 14 SE版 14英寸 11代酷睿i5 16G 512G 轻薄本/护眼全面屏/超级终端 皓月银,3999.00,50万+,华为京东自营官方旗舰店
惠普(HP)暗影精灵8Pro 16.1英寸游戏本电脑(12代酷睿i5-12500H RTX3050 4G独显 16G 512GSSD),5999.00,10万+,惠普（HP）OMEN暗影精灵京东自营旗舰店
机械革命（MECHREVO）蛟龙16K 16英寸游戏电竞笔记本电脑（R7-7735H 16G 512G RTX3050 165HZ 2.5K）,5299.00,2万+,机械革命京东自营官方旗舰店
小米笔记本电脑 Redmi Book Pro 15 2022锐龙版 3.2K高色域全面屏轻薄本(新R7-6800H 16G 512G 带摄像头),4999.00,10万+,小米京东自营旗舰店
联想笔记本电脑 小新Air14 英特尔酷睿i5 14英寸轻薄本(i5 16G 512G 高色域 大电池)银 商务办公手提电脑,3999.00,20万+,联想京东自营旗舰店
华硕（ASUS）天选3 12代英特尔酷睿i7 15.6英寸游戏本 笔记本电脑(i7-12700H 16G 512G RTX3050 144Hz高色域屏)青,6999.00,10万+,华硕京东自营官方旗舰店
联想笔记本电脑小新Pro14 英特尔Evo平台 高性能游戏轻薄本(12核标压i5-12500H 16G 512G 2.8K 120Hz)银办公,4999.00,10万+,联想京东自营旗舰店
联想笔记本电脑小新Pro16 英特尔Evo平台 高性能游戏轻薄本(14核标压i9-12900H 16G 512G 2.5K 120Hz)银 办公,5999.00,10万+,联想京东自营旗舰店
国行【2023款英特尔可选酷睿】15.6英寸笔记本电脑轻薄本学生办公超薄便携高性能游戏本手提豆小谷 英特尔11代四核+IPS屏+抗蓝光 8G内存/128G超速硬盘,1366.00,2万+,豆小谷旗舰店
国行【2023款英特尔可选酷睿】金属笔记本电脑轻薄本大学生上网课设计学习商务办公游戏手提 玫瑰金-高配英特尔四核+12代 IPS屏窄边全面屏 8G运行+512,2198.00,10万+,HUWI旗舰店
小米笔记本电脑 RedmiBookPro 14英寸 2.5K全面屏 高性能轻薄本(R5 16G 512G 摄像头 长续航 CNC全金属),3499.00,10万+,小米京东自营旗舰店
华硕（ASUS）天选3 12代英特尔酷睿i7 15.6英寸游戏本 笔记本电脑(i7-12700H 16G 512G RTX3050 144Hz高色域屏)灰,6799.00,10万+,华硕京东自营官方旗舰店
惠普HP 星14 Pro 14英寸高性能轻薄笔记本电脑(12代i5-12500H标压 16G 512G 2.2K高分屏 硬件 护眼)陨石灰,4299.90,5万+,惠普京东自营官方旗舰店
联想ThinkBook 14+ 英特尔酷睿i5 14英寸标压便携轻薄笔记本电脑i5-12500H 16G 512G 2.8K 90Hz,5299.90,10万+,ThinkPad京东自营旗舰店
惠普(HP)战66 五代 14英寸轻薄笔记本电脑(英特尔12代酷睿 i5-1240P 16G 512G 高色域低功耗屏 1年上门),4299.90,20万+,惠普京东自营官方旗舰店
华硕无畏15 2022 12代酷睿i5 15.6英寸轻薄大屏高性能办公网课笔记本电脑(i5-1240P 16G 512G 护眼防眩光)银,4199.00,2万+,华硕京东自营官方旗舰店
联想ThinkBook 14+ 英特尔酷睿i5 14英寸标压高性能轻薄笔记本电脑i5-12500H 16G 512G RTX2050 2.8K 90Hz,5999.00,10万+,ThinkPad京东自营旗舰店
华硕（ASUS）天选3 12代英特尔酷睿i5 15.6英寸游戏本 笔记本电脑(i5-12500H 16G 512G RTX3050 144Hz高色域屏)青,6499.00,10万+,华硕京东自营官方旗舰店
荣耀笔记本电脑MagicBook 14 2022 12代酷睿高性能轻薄本 标压i5-12500H 16G 512G 20h长续航 2.1K护眼屏 灰,4499.00,2万+,荣耀京东自营旗舰店
惠普(HP)战66 五代 15.6英寸轻薄笔记本电脑(英特尔12代酷睿 i7-1260P 16G 512G高色域低功耗屏 1年上门),5399.00,20万+,惠普京东自营官方旗舰店
联想ThinkBook 16+ 英特尔酷睿i5 16英寸标压高性能轻薄笔记本电脑i5-12500H 16G 512G RTX2050 2.5K 120Hz,6999.00,2万+,ThinkPad京东自营旗舰店
联想笔记本电脑 小新Pro16 英特尔酷睿i5高性能游戏轻薄本(12核标压i5-12500H 16G 512G 2.5K 120Hz)商务办公,5499.00,10万+,联想京东自营旗舰店
联想笔记本电脑小新Pro14 英特尔Evo平台 高性能游戏轻薄本(14核标压i9-12900H 16G 512G 2.8K 120Hz)银办公,5999.00,10万+,联想京东自营旗舰店
华硕（ASUS）天选3 12代英特尔酷睿i5 15.6英寸游戏本 笔记本电脑(i5-12500H 16G 512G RTX3050 144Hz高色域屏)青,6499.00,10万+,华硕京东自营官方旗舰店
戴尔笔记本电脑dell灵越3511 15.6英寸全面屏轻薄本(酷睿i5 16G 512G 锐炬显卡)银 微边框 独立数字小键盘,3799.00,5万+,戴尔京东自营官方旗舰店
华为笔记本电脑MateBook D 14 SE版 14英寸 11代酷睿 i5 锐炬显卡 8G+512G 轻薄本/高清护眼防眩光屏 灰,3399.00,50万+,华为京东自营官方旗舰店
小米 RedmiBookPro 14英寸 2.5K高色域视网膜屏 轻薄笔记本电脑(8核R7 16G 512G-SSD 指纹识别 DC调光),3999.00,10万+,小米京东自营旗舰店
华硕破晓2 12代酷睿i7 高性能轻薄本 手提笔记本电脑商用办公本 15.6英寸 12代酷睿i7 512G,5199.00,500+,华硕电脑京东自营官方旗舰店
华硕无双 英特尔Evo平台12代标压i5 15.6英寸2.8K120Hz OLED轻薄笔记本电脑(i5-12500H 16G 512G 指纹识别)银,5299.00,2万+,华硕京东自营官方旗舰店
华硕（ASUS）天选3 12代英特尔酷睿i7 15.6英寸游戏本 笔记本电脑(i7-12700H 16G 512G RTX3050 144Hz高色域屏)灰,6799.00,10万+,华硕京东自营官方旗舰店
朗捷（longe）【4本装】商务笔记本本子羊巴皮面记事本笔记本文具加厚日记本会议记录本可定制logo 4本通用装A5（黑色1，棕色1，卡其色1，酒红1）,29.80,20万+,朗捷京东自营旗舰店
朗捷（longe） 商务笔记本本子加厚记事本羊巴皮面笔记本子文具搭扣日记本办公会议记录本定制logo a5棕色（单本）,19.80,2万+,朗捷京东自营旗舰店
得力(deli)12本A5/30张无线装订软抄本 记事本/ 工作笔记本子/ 日记本 文具办公用品 7650,15.50,50万+,得力京东自营官方旗舰店
晨光(M&G)文具A5笔记本子 40张错题本高颜值缝线记事本 初高中小学生英语日记本 学习用品 淡染4本装 FA5487,7.90,10万+,晨光京东自营官方旗舰店
得力(deli)16K/120张羊巴皮笔记本子 加厚软面皮面本记事本日记本办公用品 灰色3345,19.90,20万+,得力京东自营官方旗舰店
华硕灵耀Pro14 2022 12代英特尔酷睿游戏轻薄设计笔记本电脑(i7-12700H 16G 512G RTX3050Ti 2.8K120Hz OLED),7699.00,2000+,华硕京东自营官方旗舰店
华硕无畏 14 OLED版 轻薄笔记本电脑(R7-5800H 16G 512G 100%P3广色域 600尼特2.8K 90Hz护眼屏)银,3999.00,5万+,华硕京东自营官方旗舰店
惠普(HP)战66五代 锐龙版 15.6英寸轻薄笔记本电脑(全新7nm锐龙 R7-5825U 16G 512G 高色域低功耗屏 长续航),4399.00,50万+,惠普京东自营官方旗舰店
联想拯救者R7000 15.6英寸游戏本 笔记本电脑(标压 8核 R7-5800H 16G 512G RTX3050 高色域屏)黑,5599.00,5万+,联想京东自营旗舰店
小米 Xiaomi Book Air 13 2.8K OLED高清屏笔记本电脑(酷睿i5 16G 512G 翻转触控屏 正版office 办公长续航),5199.00,5000+,小米京东自营旗舰店
华为笔记本电脑MateBook D 15 2022款 15.6英寸 11代酷睿 i5 16G+512G 锐炬显卡 轻薄本/护眼全面屏 银,4299.00,5万+,华为京东自营官方旗舰店
华硕（ASUS）天选3 锐龙版 15.6英寸游戏本 笔记本电脑(R7-6800H 16G 512G RTX3050 144Hz 100%sRGB高色域屏)灰,6299.00,10万+,华硕京东自营官方旗舰店
国行【2023款英特尔可选酷睿】金属笔记本电脑轻薄本大学生上网课设计学习商务办公游戏手提 高配英特尔四核+12代 IPS屏窄边全面屏+抗蓝光 16G运行+51,2498.00,10万+,HUWI旗舰店
联想ThinkBook 16+ 英特尔酷睿i9 16英寸标压轻薄便携笔记本电脑i9-12900H 32G 512G 2.5K,7299.00,2万+,ThinkPad京东自营旗舰店
戴尔（DELL） 灵越15pro酷睿i5笔记本轻薄办公家用学生戴尔14Pro商务网课手提电脑 15.6英寸 i5-1135G7 MX350独显 16G内存 512G PCIE固态定制版,4149.00,1万+,戴尔维克特睿笔记本专卖店
联想ThinkBook 16+ AMD锐龙标压笔记本电脑 16英寸标压轻薄便携本R7-6800H 16G 512G 2.5K 120Hz,5699.00,2万+,ThinkPad京东自营旗舰店
惠普(HP)战99 2022 15.6英寸高性能笔记本电脑设计师创作本工作站 12代i5-12500H 16G 512G RTX3050Ti 高色域,6999.00,1万+,惠普京东自营官方旗舰店
戴尔（DELL） 16Pro灵越5000 16英寸2022款锐龙版成就5625轻薄办公游戏笔记本电脑 R5-5625U 16G内存 512G固态 定制版,4369.00,2万+,戴尔阳光雨尉专卖店
华硕（ASUS）天选3 锐龙版 15.6英寸游戏本 笔记本电脑(R7-6800H 16G 512G RTX3060 144Hz 100%sRGB高色域屏)青,7499.00,10万+,华硕京东自营官方旗舰店
联想笔记本电脑小新Pro16 高性能轻薄本(8核标压R7-6800H 16G 512G 2.5K 120Hz 75Wh大电池)深空灰 办公手提,5199.00,10万+,联想京东自营旗舰店
机械革命(MECHREVO)极光Z 12代英特尔酷睿i5 15.6英寸游戏本 笔记本电脑(i5-12450H 16G 512G RTX3050 144Hz),4499.00,5万+,机械革命京东自营官方旗舰店
戴尔（DELL） Vostro成就5310成就5320酷睿2.5K护眼全面屏Evo认证便携笔记本电脑 标压i5/16G/512G/锐炬显卡,4499.00,2000+,戴尔商用京东官方自营旗舰店
华为笔记本电脑MateBook D 14 SE版 2022 14英寸 12代酷睿i5 8G 512G 轻薄本/护眼全面屏/超级终端 皓月银,3699.90,50万+,华为京东自营官方旗舰店
惠普战99 锐龙 15.6英寸高性能笔记本电脑设计师本工作站,5499.90,2万+,惠普京东自营官方旗舰店
联想（Lenovo） 拯救者R7000 15.6英寸 游戏笔记本电脑 R7-5800H 16G 512G RTX3050,5666.00,2万+,联想京东自营官方旗舰店
戴尔（DELL）游匣G15 12代英特尔酷睿i7 15.6英寸游戏本 笔记本电脑(12代i7-12700H 16G 512G RTX3060 165Hz电竞屏)黑,7499.00,20万+,戴尔京东自营官方旗舰店
联想（Lenovo）拯救者Y9000p 2022版12代酷睿十四核i9处理器r电竞游戏本学生设计网课电脑 钛晶灰丨i9-12900H丨RTX3060-6G丨 16G丨512G固态丨2.5K超清屏,9099.00,5000+,联想汇汉授权专卖店
联想拯救者Y7000P 英特尔酷睿i5 15.6英寸游戏本 笔记本电脑(i5-12500H 16G 512G RTX3050 165Hz 2.5k电竞屏),6999.00,10万+,联想京东自营旗舰店
惠普(HP)暗影精灵8Pro 16.1英寸游戏笔记本电脑(12代酷睿i7-12700H RTX3060 6G 16GDDR5 512G 2.5K 165Hz),7999.00,10万+,惠普（HP）OMEN暗影精灵京东自营旗舰店
惠普(HP)战66五代 锐龙版 15.6英寸轻薄笔记本电脑,4399.00,50万+,惠普京东自营官方旗舰店
小米（MI）游戏本 Redmi G 2022 16英寸 高性能笔记本电脑(12代酷睿i5 16G RTX3050 2.5K 165Hz高刷屏 DDR5高频内存),5799.00,2万+,小米京东自营旗舰店
华为笔记本电脑MateBook D 14 2022款 14英寸 11代酷睿 i5 16G+512G 锐炬显卡 轻薄本/护眼全面屏 银,4299.00,50万+,华为京东自营官方旗舰店
联想拯救者R9000P 电竞游戏笔记本电脑y 满血版RTX3060独显 八核16线程 新锐龙 R7-5800H 16G 512G固态 标配版 16英寸 2.5K超高清｜165Hz专业电竞屏,8199.00,20万+,联想华东授权专卖店
荣耀MagicBook 14 锐龙版 14英寸6核锐龙R5轻薄笔记本电脑 16G大内存 512G 冰河银 多屏协同 高色域,3299.00,5万+,荣耀京东自营旗舰店
华硕（ASUS）天选3 12代英特尔酷睿i5 15.6英寸游戏本 笔记本电脑(i5-12500H 16G 512G RTX3050 144Hz高色域屏)灰,6299.00,10万+,华硕京东自营官方旗舰店
2023年新款【英特尔酷睿i7全能本】15.6英寸轻薄便携笔记本电脑游戏手提高性能学生办公本豆小谷 炫酷黑【英特尔12代四核-指纹+背光+窄边框】 16G内存/1024G固态硬盘,2398.00,2000+,豆小谷旗舰店
惠普(HP)暗影精灵8Pro 16.1英寸游戏笔记本电脑(12代酷睿i9-12900H RTX3060 6G 16GDDR5 512G 2.5K 165Hz),8499.00,10万+,惠普（HP）OMEN暗影精灵京东自营旗舰店
机械革命蛟龙16 2.5K 240Hz高刷 16英寸游戏电竞笔记本电脑(R7-6800H 16G 512G RTX3060满血),6988.00,2万+,机械革命京东自营官方旗舰店
宏碁（acer）暗影骑士·擎 15.6英寸游戏本 笔记本电脑(12代i5-12500H 16G 512G RTX3050 165Hz满血高色域),5999.00,2万+,宏碁京东自营旗舰店
惠普HP 星14 Pro 14英寸轻薄笔记本电脑(12代i5-12500H标压2.8K 90Hz OLED材质高分高刷屏 硬件护眼)月光银,4999.00,5万+,惠普京东自营官方旗舰店
联想拯救者Y7000 英特尔酷睿i5 15.6英寸游戏本 笔记本电脑(i5-11400H 16G 512G RTX3050 高色域屏),5999.00,10万+,联想京东自营旗舰店
惠普（HP） 星14青春版高性能轻薄本 锐龙Pro增强版 手提笔记本电脑学生商务办公本 7nm【上新】R5-5625U 8G 512G,3399.00,1000+,惠普（HP）旗舰店
联想拯救者R9000X 16英寸轻薄高性能游戏笔记本电脑(R7-6800H 16G 512G RX6600S 2.5K 165Hz高色域)设计师,6999.00,20万+,联想京东自营旗舰店
联想笔记本电脑小新Pro14 高性能游戏轻薄本(8核标压R7-6800HS 16G 512G 2.8K 120Hz )商务办公 手提电脑,4999.00,10万+,联想京东自营旗舰店
联想拯救者Y7000P 15.6英寸游戏本 笔记本电脑(i7-12700H 16G 512G RTX3050 165Hz 2.5k电竞屏)钛晶灰,7699.00,10万+,联想京东自营旗舰店
机械革命（MECHREVO）极光Pro 12代英特尔酷睿i5 15.6英寸游戏本 笔记本电脑(i5-12450H 16G 512G RTX3060满血 165HZ 2.5K屏),6488.00,5万+,机械革命京东自营官方旗舰店
联想（Lenovo） 小新Pro16电竞显卡版轻薄游戏笔记本电脑设计办公本标压锐龙八核R7 5800H 16G 512G RTX3050 标配 16英寸｜2.5K｜高色域,5799.00,10万+,联想西南授权专卖店
ROG枪神7 超竞版 第13代英特尔酷睿i9 16英寸 星云屏 电竞游戏本笔记本电脑(i9-13980HX 液金导热 16G 1T RTX4080 2.5K 240Hz P3广色域),17999.00,0,玩家国度ROG京东自营官方旗舰店
联想（Lenovo） 拯救者Y9000P 2022 16英寸游戏笔记本电脑 i9-12900H RTX3060 钛晶灰,9389.00,2万+,联想京东自营官方旗舰店
华硕（ASUS）天选3 12代英特尔酷睿i7 15.6英寸游戏本 笔记本电脑(i7-12700H 16G 512G RTX3060 2.5K 165Hz 100%P3色域)灰,8499.00,10万+,华硕京东自营官方旗舰店
惠普(HP)战66 五代 15.6英寸轻薄笔记本电脑(英特尔12代酷睿 i5-1240P 32G 512G 高色域低功耗屏 1年上门),4899.00,20万+,惠普京东自营官方旗舰店
惠普(HP)战66五代 锐龙版 14英寸轻薄笔记本电脑(全新7nm锐龙 R5-5625U 16G 512G 高色域低功耗屏 长续航),3999.00,50万+,惠普京东自营官方旗舰店
宏碁(Acer)非凡S3 全新12核酷睿Evo轻薄本 14英寸2.5K高色域 办公学生电脑(12代i5-1240P 16G 512G)银,4299.00,2万+,宏碁京东自营旗舰店
2023新品【RTX3060独显游戏本】15.6英寸笔记本电脑学生上网本商务办公手提电脑豆小谷 10代酷睿i5/RTX3060满血/144Hz高刷 32G内存/512G固态硬盘,5999.00,1000+,豆小谷旗舰店
惠普HP 星15青春版 15英寸大屏网课轻薄笔记本电脑(8核锐龙R7处理器 16G 512G 高速WIFI6 7×24h在线服务 银),3499.00,2万+,惠普京东自营官方旗舰店
华为笔记本电脑MateBook 14 2022 12代酷睿版 i5 16G 512G 锐炬显卡/轻薄本/14英寸2K触控全面屏 皓月银,5399.00,10万+,华为京东自营官方旗舰店
惠普(HP)战66五代 锐龙版 15.6英寸轻薄笔记本电脑(全新7nm锐龙 R5-5625U 16G 512G 高色域低功耗屏 长续航),4099.00,50万+,惠普京东自营官方旗舰店
联想笔记本电脑小新Air15 英特尔酷睿i5 轻薄本(12核i5-1240P 16G 512G 100%sRGB高色域)银 商务办公手提电脑,4799.00,20万+,联想京东自营旗舰店
华为笔记本电脑MateBook D 14 2022 12代酷睿版 i7 16G 512G 锐炬显卡/轻薄本/14英寸护眼全面屏/超级终端 银,5499.00,50万+,华为京东自营官方旗舰店
惠普战99 15.6英寸高性能笔记本 12代i5 16G,6999.00,1万+,惠普京东自营官方旗舰店
