杨勇,副主任医师,心脏内科,西京医院,9.7,277,擅长：先天性心脏病风湿性心脏病冠状动脉粥样硬化性心...,￥50
闻杰,主任医师,内分泌科,复旦大学附属华山医院,9.6,576,擅长：糖尿病及其慢性并发症的综合管理及最新治疗手段精细...,￥300
沈捷,主任医师,心血管专科,上海儿童医学中心,9.9,999,擅长：先天性心脏病的介入治疗以及心律失常、川崎病、肺动...,￥200
魏桂荣,副主任医师,神经内科,华中科技大学附属协和医院西院,9.7,168,擅长：神经内科;①脑血管疾病的诊断、治疗和康复；②治疗...,￥50
任昊,主任医师,肾病中心,南方医科大学南方医院,10.0,30,擅长：各类风湿性疾病的诊治(包括系统性红斑狼疮、类风湿...,￥80
郭保静,副主任医师,心内科,首都医科大学附属北京安贞医院,9.9,80,擅长：小儿心律失常诊治、射频消融；先天性心脏病的介入治...,￥30
杨光,主任医师,肾科门诊,江苏省人民医院,9.9,173,擅长：各种肾炎、肾病和肾功能不全肾衰竭的诊治，尤其疑难...,￥200
吕晓毅,副主任医师,血液科,中国医科大学附属第一医院,10.0,260,擅长：常见、疑难和罕见血液疾病常见血液病：如再生障碍...,￥50
张宇清,主任医师,心内科,中国医学科学院阜外医院,9.8,72,擅长：原发和继发性高血压、难治性高血压，心力衰竭。,￥200
孙虹,副主任医师,神经内科,首都医科大学宣武医院,9.8,99,擅长：帕金森病、青年帕金森病、各种帕金森综合征（包括进...,￥200
刘艳霞,副主任医师,内分泌与代谢病科(河医院区),郑州大学第一附属医院,10.0,4180,擅长：糖尿病及其急慢性并发症，多囊卵巢综合征、肾上腺性...,￥30
樊慧慧,主治医师,贫血科,中国医学科学院血液病医院（血液学研究所）,10.0,69,擅长：再生障碍性贫血，溶血性贫血，骨髓增生异常综合征等...,未开通
张晓猛,副主任医师,风湿免疫科,合肥市第一人民医院,10.0,12328,擅长：类风湿性关节炎、强直性脊柱炎、静脉曲张、风湿性关...,￥45
张林杉,主治医师,内分泌科,复旦大学附属中山医院,10.0,991,擅长： 糖尿病、高血脂、高尿酸血症、肥胖、非酒精性脂肪...,￥99
高莎莎,副主任医师,神经内科(河医院区),郑州大学第一附属医院,10.0,269,擅长：擅长白内障，青光眼，眼外伤的诊断和治疗，熟练...,￥30
高玉霞,主任医师,心脏内科,天津医科大学总医院,10.0,1552,擅长：疑难心血管疾病的诊疗，尤其是高血压、心力衰竭、冠...,￥50
姜珊,主治医师,老年医学科,北京协和医院,,4,擅长：老年常见慢病的诊治，常见老年综合征的管理，如营养...,￥150
杨志梅,主治医师,血液病研究所,北京大学人民医院,10.0,371,擅长：白血病，淋巴瘤，骨髓瘤，骨髓增生异常综合征，再生...,未开通
赖荣陶,副主任医师,门诊感染病,上海交通大学医学院附属瑞金医院,10.0,148,擅长：药物性肝损伤、各类病毒性肝炎、脂肪肝等,￥150
郑汝桦,副主任医师,消化内科,南京鼓楼医院,10.0,2425,擅长：胃肠镜操作，胃肠道疾病内镜下治疗，胆道系统疾病（...,￥25
冯思玮,主治医师,呼吸科,华中科技大学同济医学院附属协和医院,10.0,717,擅长：肺炎，肺结节，肺结核，肺气肿，肺大泡，肺癌，支气...,￥120
徐臣年,主治医师,心脏内科,西京医院,10.0,89,擅长：心脏瓣膜病、先天性心脏病、主动脉夹层动脉瘤，主动...,￥50
陈波,副主任医师,心血管内科,郑州大学附属郑州中心医院,10.0,38582,擅长：高血压、晕厥、冠心病心绞痛、心肌梗死、心律失常、...,￥39
亢园园,主治医师,门诊高血压,上海交通大学医学院附属瑞金医院,10.0,244,擅长：高血压病因筛查，高血压优化治疗，继发性高血压的诊...,￥100
李博,主治医师,心血管内科,浙江大学医学院附属第一医院,10.0,16599,擅长：高血压病、冠心病、心律失常、心力衰竭以及老年性、...,￥35
何晓敏,副主任医师,心血管专科,上海儿童医学中心,10.0,289,擅长：国内率先开展先天性心脏病的微创与美容外科一体化治...,￥30
刘玉建,主治医师,心血管内科,华中科技大学同济医学院附属同济医院,10.0,181,擅长：医学博士自参加工作以来一直从事心内科相关疾病的...,￥30
颜炳柱,主任医师,感染病科,哈尔滨医科大学附属第二医院,10.0,1601,擅长：各种肝病；艾滋病的阻断与暴露；狂犬病的阻断与暴露...,￥40
石治宇,主治医师,心血管内科诊室,哈尔滨医科大学附属第一医院,10.0,11084,擅长：心血管内科诊室类常见疾病,￥10
吴世洪,副主任医师,内科,达州市达川区疾病预防控制中心附属医院,10.0,87596,擅长：内科，儿科常见病多发病及疑难杂症的诊治，态度和善...,￥60
李诗贤,副主任医师,内科,滕州市中医医院,10.0,201114,擅长：内科系统常见病多发病，及疑难杂症的诊疗，对心血管...,￥50
吴双,住院医师,心内科,中国医学科学院阜外医院,,3,擅长：常见心内科相关疾病诊治,￥30
李响,副主任医师,心血管内科,重庆医科大学附属第一医院,10.0,662,擅长：心血管内科常见病治疗,￥30
孟培培,主治医师,消化内科,中国人民解放军联勤保障部队第980医院,10.0,6739,擅长：脑梗塞，脑出血，植物神经功能紊乱，反流性食管炎，...,￥20
朱吉安,主治医师,心血管病科,泰安市中医医院,10.0,7791,擅长：中西医结合治疗心血管系统常见病、多发病，如冠心病...,￥0
刁鸿英,主任医师,心血管内科,吉林大学第二医院,10.0,6625,擅长：冠心病(心绞痛、心肌梗死)、高血压、心律失常、心...,￥30
薛守斌,副主任医师,呼吸科,兰州市第一人民医院,10.0,3686,擅长：慢性阻塞性肺疾病、支气管哮喘、肺部感染性疾病、支...,￥50
逄焕宁,副主任医师,消化内科,吉林市人民医院,10.0,7890,擅长：胃食管反流病、根除幽门螺杆菌、胃肠息肉的治疗；早...,￥30
李忠,主任医师,神经内科,北京市第一中西医结合医院,10.0,1354,擅长：头晕，头痛，震颤，失眠，脑血管病。,￥59
崔燕平,副主任医师,感染科,聊城市人民医院,10.0,1718,擅长：各类病毒性、酒精性、药物性等肝炎、肝硬化、肝癌。...,￥20
何云,主治医师,消化内分泌科,随州市中心医院,10.0,1585,擅长：常见消化内科相关疾病，比如反流性食管炎，胃炎，胃...,￥18
王卓群,主治医师,心内科,天津医科大学总医院,10.0,40,擅长：心内科相关疾病,￥20
任冬梅,副主任医师,内分泌科,中国人民解放军联勤保障部队第九六〇医院,9.9,114771,擅长：糖尿病，甲亢甲减，高血脂，高血压，冠心病，脑梗塞...,￥200
车明文,主治医师,感染科,中国人民解放军新疆军区总医院,10.0,10619,擅长：乙肝，结核等传染性疾病的治疗,￥20
刘泽英,主任医师,呼吸内科,首都医科大学附属北京安贞医院,10.0,88,擅长：哮喘，慢阻肺（慢支、肺气肿），肺间质病，肺栓塞等...,￥150
刘宜平,主治医师,内科,宜昌优抚医院,10.0,342537,擅长：常见内科相关疾病,￥10
苏冬菊,主任医师,呼吸内科,哈尔滨医科大学附属第二医院,10.0,22,擅长：肺部感染性疾病、肺心病、肺癌、支气管哮喘、胸腔积...,￥50
李春媚,副主任医师,肾脏内科,哈尔滨医科大学附属第二医院,,11,擅长：各型肾炎，急慢性肾功不全，尿路感染。,￥50
黄铁群,主任医师,呼吸病门诊,中日友好医院,10.0,1441,擅长：呼吸系统常见病、疑难病和危重病的诊断治疗如肺炎支...,未开通
刘兵城,主任医师,血液内科,中国医学科学院血液病医院（血液学研究所）,9.9,1406,擅长：血液病的诊治，包括血液恶性疾病、骨髓增殖性肿瘤、...,￥200
刘志敏,主任医师,心内科,中国医学科学院阜外医院,9.8,362,擅长：起搏器，ICD，CRT/CRTD植入及随访，心律...,￥200
黄安斌,主任医师,风湿科专家,华中科技大学同济医学院附属协和医院,9.8,1376,擅长：风湿性疾病、风湿性关节炎、自身免疫性疾病、系统性...,￥100
李东杰,副主任医师,老年医学科,中南大学湘雅医院,10.0,103,擅长：前列腺疾病，阳痿早泄，更年期综合征，不育,￥149
张敏敏,主任医师,肾病科,复旦大学附属华山医院,9.8,594,擅长：各类急慢性肾病，糖尿病肾病，慢性肾功能衰竭及尿毒...,￥158
李红,主治医师,消化内科,西京医院,9.8,74,擅长：消化不良，反酸，打嗝，烧心，病毒性肝炎，乙肝，丙...,￥60
施育鹏,主治医师,消化内科,西京医院,9.6,26,擅长：长期从事消化系统疾病诊治的临床工作，主要方向是胃...,￥58
李红,主任医师,心内科,首都医科大学附属北京安贞医院,10.0,406,擅长：高血压、冠心病、心力衰竭长期治疗，心血管急危重症...,￥150
官振标,副主任医师,呼吸内科,上海长海医院,10.0,1466,擅长：肺部良恶性肿瘤的诊断及规范化治疗，慢阻肺、支气管...,￥100
龚建,住院医师,消化内科门诊,中南大学湘雅二医院,9.9,1508,擅长：本人在湘雅二医院从事消化内科工作，擅长胃炎，肠炎...,￥50
程宽,主治医师,心内科,复旦大学附属中山医院,10.0,67,擅长：心内科相关疾病,￥100
许莉军,副主任医师,内分泌与代谢病科门诊,郑州大学第一附属医院,10.0,312,擅长：糖尿病及其急慢性并发症（糖尿病肾病、糖尿病周围神...,￥50
裴颖皓,主治医师,普内科(高级50）,江苏省中医院,10.0,44757,擅长：心力衰竭、呼吸衰竭、肝肾功能不全、重症感染、重症...,￥49
俞晶,主任医师,消化内科,汕头大学医学院第一附属医院,10.0,2642,擅长：炎症性肠病（溃疡性结肠炎，克罗恩病），食道、胃肠...,￥50
谭来勋,主任医师,神经内科,武汉大学人民医院,10.0,8955,擅长：诊治各种神经系统疑难病症；主治各种原因所致失眠，...,￥120
陈芬琴,副主任医师,内分泌科,中国医科大学附属第一医院,10.0,579,擅长：糖尿病内分泌治疗,￥49
王晶,主治医师,内科,山东省立第三医院,10.0,144699,擅长：有丰富的临床经验，擅长内科常见病、多发病的诊疗。,￥100
张琳琳,副主任医师,心内科,首都医科大学附属北京安贞医院,10.0,403,擅长：冠心病、心律失常、高脂血症、高血压,￥50
刘召军,主治医师,呼吸与危重症医学科,上海交通大学医学院附属瑞金医院,10.0,336,擅长：重症医学科的相关疾病，如多脏器衰竭、急性重症胰腺...,￥200
庄严,主治医师,传染科,唐都医院,10.0,2898,擅长：乙肝、丙肝、肝硬化及各种不明原因肝炎、黄疸等，以...,￥50
张文俐,主治医师,心血管内科,上海交通大学医学院附属瑞金医院,10.0,321,擅长：心血管常见病，冠心病、心梗、先天性心脏病、心力衰...,￥43
宋淑萍,主任医师,内分泌科,天津医院,10.0,18015,擅长：糖尿病，甲状腺疾病，痛风，慢病管理常见内科疾病,￥40
陈秀梅,副主任医师,心血管内科,江苏省人民医院,10.0,809,擅长：长新冠后遗症（新冠感染后胸闷、心慌、失眠等不适）...,￥200
关熠,主治医师,肾内科,复旦大学附属华山医院,10.0,174,擅长：肾内科常见疾病,￥48
张爱森,副主任医师,老年内分泌科门诊,江苏省人民医院,10.0,9,擅长：内分泌科常见疾病的诊断与治疗，包括骨质疏松，甲状...,￥30
俞一飞,主治医师,内分泌科,复旦大学附属华山医院,10.0,489,擅长：针对糖尿病、甲状腺疾病、垂体瘤等内分泌疾病有丰富...,￥30
刘士莹,主任医师,干部保健科,天津医科大学总医院,,7,擅长：内分泌，尤其是老年糖尿病，呼吸，感染，心血管疾病...,￥100
蒋叔星,副主任医师,心血管内科,三明市第一医院,10.0,18303,擅长：高血压、高脂血症、冠心病、心律失常、糖尿病、高尿...,￥50
姜林宏,主治医师,感染科,江苏省人民医院,10.0,3997,擅长：艾滋，新冠状病毒感染，梅毒，恐艾，肝炎，水痘，狂...,￥26
高杰,副主任医师,感染病科,哈尔滨医科大学附属第二医院,10.0,1409,擅长：慢性乙肝、丙肝、肝硬化腹水、肝癌、感染性发热、败...,￥50
蒋玲,主任医师,内分泌科,山东大学齐鲁医院,10.0,76,擅长：糖尿病及并发症、骨质疏松症、甲状腺疾病、生长发育...,￥100
汪鹏,主治医师,内科,铜陵市立医院,10.0,148653,擅长：急性化脓性扁桃腺炎、肥胖合并脂肪肝、支气管炎、过...,￥15
董增胜,主治医师,内科,日照市中医医院,10.0,106701,擅长：内科类常见疾病，中医内科妇科男科疾病，如冠心病，...,￥20
朱淑霞,副主任医师,心血管神经内科,武警河北总队医院,,27,擅长：从事心脑血管疾病和老年性疾病25年，对高血压、糖...,￥20
秦胜梅,副主任医师,心内科,复旦大学附属中山医院,9.8,1528,擅长：快速和缓慢心律失常诊治，起搏器植入和随访，心衰的...,￥200
柏愚,副主任医师,消化内科,上海长海医院,9.9,1890,擅长：胃、结肠、胰腺、胆道疾病的内镜诊断与治疗，包括胃...,￥599
蒋进军,主任医师,呼吸内科高级专家门诊,复旦大学附属中山医院,9.7,939,擅长：各种原因导致的肺栓塞、肺高压、肿瘤相关性肺炎、重...,￥380
李连喜,主任医师,内分泌代谢科,上海市第六人民医院,10.0,5226,擅长：肥胖、糖尿病及其并发症、甲亢、甲减、甲状腺炎、甲...,￥279
吴媛媛,副主任医师,过敏反应科,华中科技大学同济医学院附属同济医院,9.8,769,擅长：产前遗传咨询及产前诊断、复发性流产、高危妊娠的临...,￥80
张朝香,主任医师,心内科,首都医科大学附属北京安贞医院,10.0,444,擅长：冠心病、心律失常、心肌炎、心肌病、心力衰竭、高血...,￥100
石亮亮,副主任医师,消化内科,南京鼓楼医院,10.0,2978,擅长：常见消化道疾病的诊断治疗，胃食管反流病，反流性食...,￥25
陈苗,副主任医师,血液内科,北京协和医院,10.0,202,擅长：再生障碍性贫血、骨髓增生异常综合征、溶血性贫血、...,￥300
邵英起,主任医师,血液内科,中国医学科学院血液病医院（血液学研究所）,10.0,343,擅长：长期从事贫血性疾病诊疗工作，对伴有贫血的各种血液...,￥300
徐昶,副主任医师,心血管内科,华中科技大学同济医学院附属同济医院,10.0,806,擅长：冠心病、主动脉夹层及外周动脉血管疾病的诊断和介...,￥38
朱争凤,副主任医师,心内科专家,华中科技大学同济医学院附属协和医院,9.9,551,擅长：心血管内科常见疾病诊断与治疗。,￥50
施均,主任医师,血液内科,中国医学科学院血液病医院（血液学研究所）,9.9,198,擅长：主要研究再生障碍性贫血、骨髓增生异常综合征诊断与...,￥300
朱彤莹,主任医师,肾病科,复旦大学附属华山医院,8.7,119,擅长：腹膜透析及其并发症的诊治；各种原发及继发性肾小球...,￥120
冯一洲,医师,心脏内科,四川大学华西医院,10.0,448,擅长：常见病多发病的诊治及各种血液学检查报告的解读。,￥19
盛滋科,主治医师,门诊感染病,上海交通大学医学院附属瑞金医院,10.0,1283,擅长：发热，呼吸道感染，细菌感染，各种病毒性肝炎,￥70
沈珠军,主任医师,心内科,北京协和医院,10.0,202,擅长：冠心病介入治疗，高血压、高脂血症等心血管疾病诊治...,￥600
陆福明,主任医师,肾内科,复旦大学附属华山医院,9.8,2955,擅长：各种肾炎如IgA肾炎、膜性肾病、狼疮性肾炎治疗。...,￥298
龚凌云,副主任医师,神经内科,复旦大学附属华山医院,10.0,3957,擅长：周围神经病、神经痛、运动神经元病、脊髓病变、脑血...,未开通
郭涛,副主任医师,消化内科,北京协和医院,9.9,147,擅长：早期胃癌，幽门螺杆菌感染，胰腺疾病，结肠息肉，炎...,￥300
郑洋洋,主治医师,消化内科,西京医院,9.9,692,擅长：1.各种肝病包括病毒性肝炎、自身免疫性肝炎、肝癌...,￥60
郭涛,主任医师,血液科专家,华中科技大学同济医学院附属协和医院,10.0,86,擅长：噬血细胞综合征，白血病，淋巴瘤，骨髓瘤；擅长血小...,￥100
范学工,主任医师,感染病科,中南大学湘雅医院,9.8,23,擅长：各类肝脏疾病，特别是病毒性肝炎的诊断与治疗。,￥600
邓钰蕾,主任医师,门诊神内,上海交通大学医学院附属瑞金医院,9.9,678,擅长：癫痫等发作性疾病、老年性痴呆、头痛、睡眠障碍、脑...,￥300
李敏,主任医师,心内科,首都医科大学附属北京安贞医院,10.0,1090,擅长：心内科类常见疾病，冠心病，心律失常，房颤，房早，...,￥200
罗庆志,主治医师,心血管内科,上海交通大学医学院附属瑞金医院,10.0,170,擅长：室上速，早搏，房扑房颤等快速型心律失常消融治疗，...,￥50
周绪杰,副主任医师,肾内科,北京大学第一医院,10.0,33,擅长：IgA肾病遗传性肾脏病肾小球肾炎,￥200
温华,副主任医师,呼吸内科,中国医科大学附属第一医院,10.0,171,擅长：急性上呼吸道感染、慢阻肺、支气管哮喘、支气管扩张...,￥50
徐晓刚,主任医师,感染门诊,复旦大学附属华山医院,9.9,548,擅长：肺炎、尿路感染、脑膜炎等常见感染性疾病的诊断及治...,￥198
吴庆军,主任医师,风湿免疫科,北京协和医院,9.9,1808,擅长：诊治系统性红斑狼疮、干燥综合征、类风湿关节炎、脊...,未开通
李群,副主任医师,肾脏病,浙江大学医学院附属第一医院,10.0,355,擅长：慢性肾小球肾炎、IgA肾病、狼疮性肾炎、慢性肾功...,￥60
陈希婧,副主任医师,生殖高年专家,浙江大学医学院附属妇产科医院,10.0,2586,"擅长：女性不孕症、妇科内分泌疾病诊治及辅助生育,熟练掌...",￥50
张琪,主任医师,神经内科,天津市静海区医院,10.0,5922,擅长：脑血管病、神经肌肉病、神经退行性疾病、神经内科等...,￥50
冯高科,副主任医师,心血管内科,武汉大学人民医院,9.9,373,擅长：疾病诊治擅长：高血压病、冠心病、心衰、心律失常、...,￥59
刘宏磊,副主任医师,门诊风湿免疫,上海交通大学医学院附属瑞金医院,10.0,1115,擅长：抗磷脂综合症(相关习惯性流产、胎停及多发血栓)...,￥149
霍亚平,主任医师,肾病科,山西省中医院,10.0,3473,擅长：治疗泌尿系炎症、过敏性紫癜性肾炎、IgA肾病、肾...,￥15
吴祖波,主治医师,儿童风湿免疫专科,华中科技大学同济医学院附属协和医院,10.0,403,擅长：心血管、呼吸、消化系统等儿童常见病及多发病。,￥36
肖宜超,主治医师,心血管内科门诊,中南大学湘雅二医院,9.9,60,擅长：长期从事心血管内科疾病诊治，尤其熟悉介入心脏病学...,￥200
马希英,副主任医师,普内科,广东省人民医院,10.0,1299,擅长：1、糖尿病、甲状腺机能亢进、痛风、高血脂及慢性...,￥40
徐鹃鹃,副主任医师,感染科,天津医科大学总医院,9.9,3066,擅长：新冠病毒肺炎，发热，病毒性肝炎，狂犬病，疫苗接种...,￥48
杨月,主治医师,呼吸内科诊室,哈尔滨医科大学附属第一医院,10.0,105,"擅长：呼吸内科常见病包括肺炎,慢性阻塞性肺疾病,支气管...",￥66
陈立颖,主任医师,心内科,首都医科大学附属北京安贞医院,10.0,16,擅长：冠心病、高血压临床治疗；心血管重症疾病的临床诊断...,￥200
刘志杰,主任医师,普内科,山东青岛中西医结合医院,10.0,3575,擅长：中西医结合防治高血压、糖尿病、高血脂、高尿酸血症...,￥50
何飞,主任医师,呼吸内科,杭州市红十字会医院,10.0,720,擅长：1.慢性呼吸道疾病诊治，如慢性咳嗽、哮喘、慢阻肺...,￥25
白玉焕,副主任医师,消化内科,聊城市第二人民医院,10.0,16674,擅长：消化内科常见疾病及疑难杂症的诊断及治疗，肝病及肠...,￥30
窦爱霞,主任医师,血液内科,山东大学第二医院,10.0,349,擅长：白血病、淋巴瘤、骨髓瘤等血液肿瘤的诊断与治疗，针...,￥30
薛骏,主任医师,肾病科,上海华山医院宝山院区（原华山北院）,9.7,844,擅长：疑难血管通路的建立、急性、慢性肾小球肾炎；间质性...,￥100
王一倩,主任医师,消化内科,复旦大学附属华东医院,10.0,4393,擅长：消化内科疾病的诊治，如幽门螺杆菌感染的治疗，慢性...,￥70
王亮,副主任医师,心血管内科门诊,江苏省人民医院,10.0,493,擅长：冠心病、高血压、高脂血症、心力衰竭、心律失常药物...,￥20
杨爽,主任医师,心血管内科,河北省人民医院,10.0,2094,擅长：老年病的诊治，如冠心病、高血压、心律失常、心力衰...,￥50
李雯娜,副主任医师,心脏内科,中国医科大学附属第一医院,10.0,86,擅长：擅长冠心病(心绞痛、急性心肌梗死)，高血压(难治...,￥100
黄洪锋,主任医师,肾脏病中心门诊,浙江大学医学院附属第一医院,10.0,695,擅长：肾移植,￥50
陈盛,副主任医师,脉管瘤门诊,上海儿童医学中心,10.0,2048,擅长：微创治疗儿童腹股沟疝、鞘膜积液、生殖器疾病、先天...,￥49
陈凤欣,主任医师,感染科,北京地坛医院,10.0,773,擅长：各种类型肝炎（含乙肝、丙肝、甲肝、戊肝、脂肪肝等...,￥100
李鑫,主任医师,感染科,北京地坛医院,10.0,530,擅长：新冠肺炎、各种肝炎、肝硬化、肝衰竭、感染性疾病及...,￥200
董民,主任医师,感染疾病科,枣庄市立医院,10.0,2528,擅长：常见感染肝病相关疾病，感染性疾病诊治,￥50
赵桂鸣,主任医师,内科,天津市第二人民医院,9.9,1593,擅长：长期从事急、慢性肝炎、肝硬化和肝癌等肝脏疾病的临...,￥50
孙超,副主任医师,心血管科门诊-起搏器随访门诊,北京大学第三医院,10.0,167,擅长：1）心律不齐、心动过缓、心动过速、早搏、房颤等心...,￥200
姚雪艳,主任医师,心血管内科,浙江大学医学院附属第一医院,10.0,246,擅长：能较好地根据循证医学知识指导临床实践。能明智、清...,￥30
黄益澄,副主任医师,感染病科,浙江省人民医院,10.0,5285,擅长：各种肝病（包括各种病毒性肝炎，药物性肝炎，酒精性...,￥39
谢运,主治医师,心脏内科,上海交通大学医学院附属瑞金医院,10.0,80,擅长：房颤房扑，早搏，室上速等快速性心律失常的综合治疗...,￥50
宫克旭,主任医师,心血管内科,天津市静海区医院,10.0,2872,擅长：冠心病（心绞痛、心肌梗死），高血压病，心律失常，...,￥20
杨友,副主任医师,行为障碍,上海儿童医学中心,9.9,2860,擅长：儿童孤独症谱系障碍、注意缺陷多动障碍、抽动障碍、...,￥280
刘凌波,主任医师,血液科专家,华中科技大学同济医学院附属协和医院,9.6,226,擅长：髓系血液细胞生成与发育异常性疾病的诊治：（1）髓...,￥60
俞小芳,副主任医师,肾病科,复旦大学附属中山医院,9.9,2161,擅长：血尿，蛋白尿，慢性肾小球肾炎，尤其是模性肾病，遗...,￥200
张鹏,主任医师,肾病内科,西京医院,10.0,2009,擅长：IgA肾病、肾病综合征、膜性肾病、紫癜性肾炎、...,￥200
曹文杰,副主任医师,神经内科,复旦大学附属华山医院,9.9,1704,擅长：擅长脑中风的诊断与治疗，脑血管病介入治疗，颈动脉...,￥398
夏军权,主任医师,消化科,固生堂南京宁西分院,9.9,1172,擅长：消化科相关疾病,￥100
刘丰,副主任医师,结肠炎专科,广东省中医院大德路总院,8.9,1352,擅长：内科杂病，尤其擅长中西医结合诊治慢性结肠炎、胃炎...,￥80
